% Version 1.00
%
%time[s];Trc1_S11[dB];
-1.000000000000000E-009,-5.284537895586236E+000,
-9.333166666666668E-010,-5.278981969094227E+000,
-8.666333333333334E-010,-5.273471768639195E+000,
-7.999500000000001E-010,-5.268007275575110E+000,
-7.332666666666668E-010,-5.262588471406455E+000,
-6.665833333333335E-010,-5.257215337787888E+000,
-5.999000000000001E-010,-5.251887856523911E+000,
-5.332166666666668E-010,-5.246606009568531E+000,
-4.665333333333334E-010,-5.241369779024944E+000,
-3.998500000000001E-010,-5.236179147145192E+000,
-3.331666666666668E-010,-5.231034096329863E+000,
-2.664833333333335E-010,-5.225934609127744E+000,
-1.998000000000001E-010,-5.220880668235529E+000,
-1.331166666666668E-010,-5.215872256497494E+000,
-6.643333333333345E-011,-5.210909356905174E+000,
2.499999999998699E-013,-5.205991952597077E+000,
6.693333333333319E-011,-5.201120026858356E+000,
1.336166666666665E-010,-5.196293563120531E+000,
2.002999999999998E-010,-5.191512544961155E+000,
2.669833333333331E-010,-5.186776956103548E+000,
3.336666666666665E-010,-5.182086780416478E+000,
4.003499999999998E-010,-5.177442001913891E+000,
4.670333333333331E-010,-5.172842604754593E+000,
5.337166666666664E-010,-5.168288573241994E+000,
6.003999999999999E-010,-5.163779891823799E+000,
6.670833333333332E-010,-5.159316545091736E+000,
7.337666666666665E-010,-5.154898517781281E+000,
8.004499999999999E-010,-5.150525794771371E+000,
8.671333333333332E-010,-5.146198361084139E+000,
9.338166666666665E-010,-5.141916201884640E+000,
1.000500000000000E-009,-5.137679302480575E+000,
1.067183333333333E-009,-5.133487648322037E+000,
1.133866666666666E-009,-5.129341225001244E+000,
1.200550000000000E-009,-5.125240018252264E+000,
1.267233333333333E-009,-5.121184013950778E+000,
1.333916666666666E-009,-5.117173198113813E+000,
1.400600000000000E-009,-5.113207556899481E+000,
1.467283333333333E-009,-5.109287076606748E+000,
1.533966666666666E-009,-5.105411743675166E+000,
1.600650000000000E-009,-5.101581544684633E+000,
1.667333333333333E-009,-5.097796466355158E+000,
1.734016666666666E-009,-5.094056495546608E+000,
1.800700000000000E-009,-5.090361619258475E+000,
1.867383333333333E-009,-5.086711824629641E+000,
1.934066666666666E-009,-5.083107098938143E+000,
2.000750000000000E-009,-5.079547429600939E+000,
2.067433333333333E-009,-5.076032804173683E+000,
2.134116666666666E-009,-5.072563210350499E+000,
2.200800000000000E-009,-5.069138635963747E+000,
2.267483333333333E-009,-5.065759068983822E+000,
2.334166666666667E-009,-5.062424497518911E+000,
2.400850000000000E-009,-5.059134909814793E+000,
2.467533333333333E-009,-5.055890294254613E+000,
2.534216666666666E-009,-5.052690639358686E+000,
2.600900000000000E-009,-5.049535933784269E+000,
2.667583333333333E-009,-5.046426166325362E+000,
2.734266666666667E-009,-5.043361325912503E+000,
2.800950000000000E-009,-5.040341401612565E+000,
2.867633333333333E-009,-5.037366382628556E+000,
2.934316666666666E-009,-5.034436258299415E+000,
3.001000000000000E-009,-5.031551018099829E+000,
3.067683333333333E-009,-5.028710651640021E+000,
3.134366666666667E-009,-5.025915148665581E+000,
3.201049999999999E-009,-5.023164499057254E+000,
3.267733333333333E-009,-5.020458692830768E+000,
3.334416666666667E-009,-5.017797720136652E+000,
3.401100000000000E-009,-5.015181571260039E+000,
3.467783333333334E-009,-5.012610236620497E+000,
3.534466666666666E-009,-5.010083706771852E+000,
3.601150000000000E-009,-5.007601972402005E+000,
3.667833333333333E-009,-5.005165024332766E+000,
3.734516666666667E-009,-5.002772853519682E+000,
3.801200000000000E-009,-5.000425451051858E+000,
3.867883333333333E-009,-4.998122808151810E+000,
3.934566666666666E-009,-4.995864916175275E+000,
4.001250000000000E-009,-4.993651766611079E+000,
4.067933333333333E-009,-4.991483351080948E+000,
4.134616666666667E-009,-4.989359661339369E+000,
4.201300000000000E-009,-4.987280689273425E+000,
4.267983333333333E-009,-4.985246426902647E+000,
4.334666666666666E-009,-4.983256866378859E+000,
4.401350000000000E-009,-4.981311999986030E+000,
4.468033333333333E-009,-4.979411820140125E+000,
4.534716666666667E-009,-4.977556319388968E+000,
4.601399999999999E-009,-4.975745490412082E+000,
4.668083333333333E-009,-4.973979326020574E+000,
4.734766666666666E-009,-4.972257819156969E+000,
4.801450000000000E-009,-4.970580962895092E+000,
4.868133333333333E-009,-4.968948750439926E+000,
4.934816666666666E-009,-4.967361175127486E+000,
5.001499999999999E-009,-4.965818230424682E+000,
5.068183333333333E-009,-4.964319909929186E+000,
5.134866666666666E-009,-4.962866207369329E+000,
5.201550000000000E-009,-4.961457116603949E+000,
5.268233333333333E-009,-4.960092631622288E+000,
5.334916666666666E-009,-4.958772746543862E+000,
5.401600000000000E-009,-4.957497455618352E+000,
5.468283333333333E-009,-4.956266753225486E+000,
5.534966666666667E-009,-4.955080633874913E+000,
5.601650000000000E-009,-4.953939092206116E+000,
5.668333333333333E-009,-4.952842122988277E+000,
5.735016666666666E-009,-4.951789721120185E+000,
5.801700000000000E-009,-4.950781881630132E+000,
5.868383333333333E-009,-4.949818599675796E+000,
5.935066666666667E-009,-4.948899870544159E+000,
6.001750000000000E-009,-4.948025689651384E+000,
6.068433333333333E-009,-4.947196052542744E+000,
6.135116666666666E-009,-4.946410954892507E+000,
6.201800000000000E-009,-4.945670392503850E+000,
6.268483333333333E-009,-4.944974361308772E+000,
6.335166666666667E-009,-4.944322857367992E+000,
6.401849999999999E-009,-4.943715876870876E+000,
6.468533333333333E-009,-4.943153416135349E+000,
6.535216666666667E-009,-4.942635471607804E+000,
